id,coachID,note,buyout,maxBonus,teamID,otherPay,totalPay,lastName,teamName,firstName,headShot,schoolPay,actualPay,lastYearBonus,season,coachType,conference,league,team_conference_id,team_conference_name,team_conference_abbreviation,team_conference___typename,team___typename,aggregatedTime,pandemicReduction,contractYearPayReduction,__typename
3539,3539,,28312500,1300000,3428,-1,9000000,Drinkwitz,Missouri,Eliah,SMG/sports_headshots/ncaaf/coach/eliah_drinkwitz_s.jpg,9000000,9000000,425000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.061331932Z,-1,-1,CoachesSalaries
550,550,,37500000,1700000,3476,-1,9000000,Heupel,Tennessee,Josh,SMG/sports_headshots/ncaaf/coach/josh_heupel_s.jpg,9000000,9000000,200000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.062323147Z,-1,-1,CoachesSalaries
812,812,"Figures based on a financial term sheet distributed by the university, which has declined to release Franklin?s contract. School Pay includes $500,000 retention payment that becomes payable on Dec. 31, 2024, and $1,000,000 'annual loan for life insurance.'",56666667,1400000,3440,-1,8500000,Franklin,Penn State,James,SMG/sports_headshots/ncaaf/coach/james_franklin_s.jpg,8500000,8500000,300000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061888259Z,-1,-1,CoachesSalaries
4480,4480,,45366667,1875000,3465,-1,8200000,Lanning,Oregon,Dan,SMG/sports_headshots/ncaaf/coach/dan_lanning_s.jpg,8200000,8200000,450000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061822506Z,-1,-1,CoachesSalaries
2127,2127,,44808333,1385000,3430,2000,8152000,Venables,Oklahoma,Brent,SMG/sports_headshots/ncaaf/coach/brent_venables_s.jpg,8150000,8150000,25000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.061739974Z,-1,-1,CoachesSalaries
1461,1461,"In addition to Total Pay, Miami -- according to its federal tax records for the 2022 calendar year and an interview with athletics director Dan Radakovich -- paid $14,931,323 in connection with the $9 million buyout that Cristobal owed the University of Oregon for terminating his contract with that school and the taxes that Cristobal would have owed on that amount.",-1,-1,3417,-1,7783059,Cristobal,Miami (FL),Mario,SMG/sports_headshots/ncaaf/coach/mario_cristobal_s.jpg,7783059,7783059,-1,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.061127625Z,-1,-1,CoachesSalaries
615,615,"School Pay includes $1 million retention payment Gundy will receive only if he remains head coach on Dec. 15, 2024. School Pay also includes $1 million annual life insurance premium payment, with a school-affiliated entity entitled to reimbursement from the policy?s death benefits.",25359375,1000000,3431,-1,7750000,Gundy,Oklahoma State,Mike,SMG/sports_headshots/ncaaf/coach/mike_gundy_s.jpg,7750000,7750000,125000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.061766069Z,-1,-1,CoachesSalaries
2911,2911,,40186667,1450000,3442,-1,7725000,Fickell,Wisconsin,Luke,SMG/sports_headshots/ncaaf/coach/luke_fickell_s.jpg,7725000,7725000,0,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.062935588Z,-1,-1,CoachesSalaries
2806,2806,"School Pay includes a $200,000 'Relocation Allowance,' a $500,000 'Relocation Incentive' that -- in addition to other relocation costs -- must be repaid by Fisch if, within his first year of employment, he terminates the contract without cause or is fired for cause. In addition to School Pay, Washington paid $5,500,000 to cover the buyout that Fisch owed Arizona. Washington also agreed to pay any expense Fisch may incur as a consequence of this payment.",40239960,1550000,3470,-1,7700023,Fisch,Washington,Jedd,SMG/sports_headshots/ncaaf/coach/jedd_fisch_s.jpg,7700023,7700023,-1,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.062810086Z,-1,-1,CoachesSalaries
4386,4386,"School Pay includes $1,000,000 one-time signing bonus paid in connection with new contract amendment that became effective Dec. 1, 2023. It also includes $500,000 retention payment that Leipold will receive if he remains Kansas' head coach through Feb. 1, 2025",27800000,1125000,3426,-1,7500000,Leipold,Kansas,Lance,SMG/sports_headshots/ncaaf/coach/lance_leipold_s.jpg,7500000,7500000,275000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.060726701Z,-1,-1,CoachesSalaries
386,386,,26704167,1600000,3472,250000,7370000,Napier,Florida,Billy,SMG/sports_headshots/ncaaf/coach/billy_napier_s.jpg,7120000,7120000,100000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.060280816Z,-1,-1,CoachesSalaries
3513,3513,"In addition to School Pay, university agreed to pay $3,000,000 to Oregon State to cover the buyout that Smith owed that school. Michigan State also agreed to pay any taxes that Smith may owe in connection with this amount.",39787083,1785000,3436,-1,7250000,Smith,Michigan State,Jonathan,SMG/sports_headshots/ncaaf/coach/jonathan_smith_s.jpg,7250000,7250000,-1,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061206516Z,-1,-1,CoachesSalaries
181,181,"School Pay includes $1,000,000 payment that Ferentz will receive only if he remains head coach on Jan. 31, 2025",31000000,2500000,3434,-1,7000000,Ferentz,Iowa,Kirk,SMG/sports_headshots/ncaaf/coach/kirk_ferentz_s.jpg,7000000,7000000,575000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.060621165Z,-1,-1,CoachesSalaries
754,754,"In addition to School Pay, Texas A&M paid $5,000,000 to Duke to cover the buyout that Elko owed that school. Texas A&M also agreed to pay any taxes the Elko may owe in connection with this amount.",27124985,3800000,3489,-1,7000000,Elko,Texas A&M,Mike,SMG/sports_headshots/ncaaf/coach/mike_elko_s.jpg,7000000,7000000,-1,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.062372765Z,-1,-1,CoachesSalaries
1621,1621,,20312500,3300000,3480,3100,6728100,Freeze,Auburn,Hugh,SMG/sports_headshots/ncaaf/coach/hugh_freeze_s.jpg,6725000,6725000,300000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.05970396Z,-1,-1,CoachesSalaries
1708,1708,"School Pay includes $350,000 retention payment that Fleck will receive if he remains school?s head coach on Dec. 31, 2024.",23302500,1450000,3437,-1,6700000,Fleck,Minnesota,P.J.,SMG/sports_headshots/ncaaf/coach/p.j._fleck_s.jpg,6700000,6700000,150000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061255253Z,-1,-1,CoachesSalaries
1082,1082,,-1,-1,3418,-1,6699551,Narduzzi,Pittsburgh,Pat,SMG/sports_headshots/ncaaf/coach/pat_narduzzi_s.jpg,6699551,6699551,-1,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.061912849Z,-1,-1,CoachesSalaries
2840,2840,School?s tax records state that Freeman is permitted to receive compensation from external sources with prior written approval from the university.,-1,-1,3509,-1,6687754,Freeman,Notre Dame,Marcus,SMG/sports_headshots/ncaaf/coach/marcus_freeman_s.jpg,6687754,6687754,-1,2024,head,Independents,CFB,11,Independents (FBS),IndFBS,Conference,Teams,2024-10-16T07:05:36.061665023Z,-1,-1,CoachesSalaries
170,170,,29125000,1600000,3432,-1,6650000,Bielema,Illinois,Bret,SMG/sports_headshots/ncaaf/coach/bret_bielema_s.jpg,6650000,6650000,150000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.06056936Z,-1,-1,CoachesSalaries
162,162,"Bonuses Paid based on contract amendment the parties signed in October 2023 under which Whittingham agreed that for the 2023 season only, his bonus for the team's bowl appearance would be $100,000 less than otherwise called for under the contract.",9250000,1800000,3499,-1,6525000,Whittingham,Utah,Kyle,SMG/sports_headshots/ncaaf/coach/kyle_whittingham_s.jpg,6525000,6525000,325000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.062651514Z,-1,-1,CoachesSalaries
1929,1929,,56287500,950000,3429,-1,6500000,Rhule,Nebraska,Matt,SMG/sports_headshots/ncaaf/coach/matt_rhule_s.jpg,6500000,6500000,0,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061381608Z,-1,-1,CoachesSalaries
294,294,"School Pay includes retention pay that accrues to Pittman on a daily basis, with a total accrual of $1.2 million for his 2024 contract year if he remains head coach through Dec. 31. Unless Pittman?s employment is terminated by the school or Pittman retires, this amount will not actually be paid to Pittman unless he remains head coach through Dec. 31, 2024, when a total of $3.3 million would be due. No amount shown for School Buyout as of Dec. 1, 2024, because amount would depend on his won-lost record at the school since the start of the 2021 season as of termination date.",-1,1450000,3479,48000,6498000,Pittman,Arkansas,Sam,SMG/sports_headshots/ncaaf/coach/sam_pittman_s.jpg,6450000,6450000,25000,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.059617864Z,-1,-1,CoachesSalaries
666,666,,13751563,1700000,3475,26996,6401996,Beamer,South Carolina,Shane,SMG/sports_headshots/ncaaf/coach/shane_beamer_s.jpg,6375000,6375000,0,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.062130404Z,-1,-1,CoachesSalaries
145,145,"All figures based on memorandum of agreement dated Dec. 11, 2023, not a full-form employment contract",28683983,2450000,3419,-1,6250000,Schiano,Rutgers,Greg,SMG/sports_headshots/ncaaf/coach/greg_schiano_s.jpg,6250000,6250000,225000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.062002396Z,-1,-1,CoachesSalaries
3531,3531,"School pay includes $500,000 retention payment that Moore will get if he remains Michigan's head coach through Jan. 31, 2025",18029166,3625000,3435,-1,6000000,Moore,Michigan,Sherrone,SMG/sports_headshots/ncaaf/coach/sherrone_moore_s.jpg,6000000,6000000,-1,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061182039Z,-1,-1,CoachesSalaries
1602,1602,,15709416,1350000,3413,-1,5965377,Doeren,North Carolina State,Dave,SMG/sports_headshots/ncaaf/coach/dave_doeren_s.jpg,5965377,5965377,250000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.061567085Z,-1,-1,CoachesSalaries
132,132,,17344167,1525000,3411,1900,5801900,Locksley,Maryland,Mike,SMG/sports_headshots/ncaaf/coach/mike_locksley_s.jpg,5800000,5800000,220000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061051344Z,-1,-1,CoachesSalaries
6721,6721,"Other Pay not available because Sanders, contractually, must 'provide to the University?s Athletics Director and Chancellor by September 1 of each year a detailed verbal accounting of all athletically related income and benefits from sources outside the University'.",14081250,2450000,3424,-1,5700000,Sanders,Colorado,Deion,SMG/sports_headshots/ncaaf/coach/deion_sanders_s.jpg,5700000,5700000,250000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.060125286Z,-1,-1,CoachesSalaries
358,358,"School Pay includes $500,000 retention payment that Brohm will receive if he remains employed by Louisville on Dec. 31, 2024.",39325000,2000000,3505,-1,5631057,Brohm,Louisville,Jeff,SMG/sports_headshots/ncaaf/coach/jeff_brohm_s.jpg,5631057,5631057,900000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.060965484Z,-1,-1,CoachesSalaries
5782,5782,,29625000,1550000,3427,-1,5250000,Klieman,Kansas State,Chris,SMG/sports_headshots/ncaaf/coach/chris_klieman_s.jpg,5250000,5250000,75000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.060750993Z,-1,-1,CoachesSalaries
113,113,,-1,-1,3490,-1,5008414,Dykes,TCU,Sonny,SMG/sports_headshots/ncaaf/coach/sonny_dykes_s.jpg,5008414,5008414,-1,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.062398601Z,-1,-1,CoachesSalaries
152,152,,2812500,1000000,3412,700000,5000000,Brown,North Carolina,Mack,SMG/sports_headshots/ncaaf/coach/mack_brown_s.jpg,4300000,4300000,125000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.06154086Z,-1,-1,CoachesSalaries
84,84,,-1,-1,3415,-1,4781410,Clawson,Wake Forest,Dave,SMG/sports_headshots/ncaaf/coach/dave_clawson_s.jpg,4781410,4781410,-1,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.062779828Z,-1,-1,CoachesSalaries
2959,2959,"No amount shown for School Buyout as of Dec. 1, 2024, because amount would depend on whether team has a 9-win season, one of which wins may be in a bowl game.",-1,475000,3422,25000,4775000,Pry,Virginia Tech,Brent,SMG/sports_headshots/ncaaf/coach/brent_pry_s.jpg,4750000,4750000,75000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.062751648Z,-1,-1,CoachesSalaries
1939,1939,"School Pay includes $250,000 payment that Wilcox will receive only if he remains head coach through the end of the 2024 regular season.",15912500,900000,3464,-1,4600000,Wilcox,California,Justin,SMG/sports_headshots/ncaaf/coach/justin_wilcox_s.jpg,4600000,4600000,230000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.059916661Z,-1,-1,CoachesSalaries
2201,2201,"On Feb. 15, 2022, school announced contract extension with Aranda through 2029.",-1,-1,3484,-1,4540885,Aranda,Baylor,Dave,SMG/sports_headshots/ncaaf/coach/dave_aranda_s.jpg,4540885,4540885,-1,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.059755125Z,-1,-1,CoachesSalaries
4103,4103,"In addition to School Pay, Houston also paid $1,000,000 on Fritz's behalf to Tulane to cover the buyout he owed that school. Houston also agreed to pay any taxes that Fritz may incur in connection with this payment.",19000000,1500000,3485,-1,4500000,Fritz,Houston,Willie,SMG/sports_headshots/ncaaf/coach/willie_fritz_s.jpg,4500000,4500000,-1,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.060543697Z,-1,-1,CoachesSalaries
2800,2800,"School Pay includes $500,000 annual life insurance premium payment by the university, which is entitled to reimbursement from the policy?s death benefits.",15225000,1600000,3414,1000,4251000,Elliott,Virginia,Tony,SMG/sports_headshots/ncaaf/coach/tony_elliott_s.jpg,4250000,4250000,50000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.062726627Z,-1,-1,CoachesSalaries
1872,1872,"School Pay includes $250,000 retention payment Cignetti will receive if he remains Indiana's head coach on Nov. 30, 2024. In addition to School Pay, Indiana agreed to pay $1,200,000 to James Madison on Cignetti's behalf to cover the buyout he owed that school, plus another $550,620 in gross-up expense connected to that amount.",17000000,3300000,3433,-1,4250000,Cignetti,Indiana,Curt,SMG/sports_headshots/ncaaf/coach/curt_cignetti_s.jpg,4250000,4250000,-1,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.060594963Z,-1,-1,CoachesSalaries
3626,3626,"School Pay includes $3,450,000 from the Bulldog Club, Inc., a private non-profit organization that has its own contract with Lebby. That contract is set to expire on Jan. 31, 2029, one year after the scheduled end of Lebby's contract with the university. School Buyout amount reflects combination of terms in university and Bulldog Club contracts.",14256250,1900000,3483,-1,4250000,Lebby,Mississippi State,Jeff,SMG/sports_headshots/ncaaf/coach/jeff_lebby_s.jpg,4250000,4250000,-1,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.061305846Z,-1,-1,CoachesSalaries
4856,4856,,12934091,1000000,3491,43000,4247960,McGuire,Texas Tech,Joey,SMG/sports_headshots/ncaaf/coach/joey_mcguire_s.jpg,4204960,4204960,110000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.062445442Z,-1,-1,CoachesSalaries
2829,2829,,9590625,1020000,3441,-1,4050000,Walters,Purdue,Ryan,SMG/sports_headshots/ncaaf/coach/ryan_walters_s.jpg,4050000,4050000,45000,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.061938109Z,-1,-1,CoachesSalaries
1135,1135,"School Pay includes $1 million annual life insurance premium payment by the university, which is entitled to reimbursement from the policy?s death benefits.",16333333,2250000,3425,9886,4009886,Campbell,Iowa State,Matt,SMG/sports_headshots/ncaaf/coach/matt_campbell_s.jpg,4000000,4000000,300000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.060647468Z,-1,-1,CoachesSalaries
1004,1004,,9775000,1300000,3423,-1,4000000,Brown,West Virginia,Neal,SMG/sports_headshots/ncaaf/coach/neal_brown_s.jpg,4000000,4000000,180000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.06285813Z,-1,-1,CoachesSalaries
1908,1908,"School Pay, Total Pay, Maximum Bonus and School Buyout amounts based on term sheet provided by university, rather than full-form contract",13750000,700000,3615,-1,4000000,Malzahn,UCF,Gus,SMG/sports_headshots/ncaaf/coach/gus_malzahn_s.jpg,4000000,4000000,120000,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.059954143Z,-1,-1,CoachesSalaries
4922,4922,,17207408,5378500,3463,-1,3950000,Dillingham,Arizona State,Kenny,SMG/sports_headshots/ncaaf/coach/kenny_dillingham_s.jpg,3950000,3950000,0,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.059591147Z,-1,-1,CoachesSalaries
2080,2080,,15700000,1000000,3503,-1,3600000,Satterfield,Cincinnati,Scott,SMG/sports_headshots/ncaaf/coach/scott_satterfield_s.jpg,3600000,3600000,0,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.060047467Z,-1,-1,CoachesSalaries
4518,4518,"School Pay includes $250,000 hiring bonus",7940000,1300000,3469,-1,3250000,Foster,UCLA,DeShaun,SMG/sports_headshots/ncaaf/coach/deshaun_foster_s.jpg,3250000,3250000,-1,2024,head,Big Ten Conference,CFB,4,Big Ten,Big 10,Conference,Teams,2024-10-16T07:05:36.062628076Z,-1,-1,CoachesSalaries
2321,2321,,-1,-1,3477,-1,3189744,Lea,Vanderbilt,Clark,SMG/sports_headshots/ncaaf/coach/clark_lea_s.jpg,3189744,3189744,-1,2024,head,Southeastern Conference,CFB,8,Southeastern,SEC,Conference,Teams,2024-10-16T07:05:36.06270191Z,-1,-1,CoachesSalaries
2044,2044,"In addition to School Pay, Arizona paid $1,000,000 to San Jose State to cover the buyout that Brennan owed that school. Arizona also agreed to cover any taxes that he may incur in connection with this payment",13625000,1200000,3462,400000,3100000,Brennan,Arizona,Brent,SMG/sports_headshots/ncaaf/coach/brent_brennan_s.jpg,2700000,2700000,-1,2024,head,Big 12 Conference,CFB,71,Big 12,Big 12,Conference,Teams,2024-10-16T07:05:36.059560091Z,-1,-1,CoachesSalaries
2036,2036,,5119167,1175000,3410,-1,2900000,Key,Georgia Tech,Brent,SMG/sports_headshots/ncaaf/coach/brent_key_s.jpg,2900000,2900000,100000,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.060489251Z,-1,-1,CoachesSalaries
4976,4976,,2531250,550000,3471,-1,2550000,Dickert,Washington State,Jake,SMG/sports_headshots/ncaaf/coach/jake_dickert_s.jpg,2550000,2550000,0,2024,head,Pac-12 Conference,CFB,7,Pac-12,Pac-12,Conference,Teams,2024-10-16T07:05:36.062834669Z,-1,-1,CoachesSalaries
1140,1140,"No amount shown for Buyout as of Dec. 1, 2024, because Golesh has separate agreement covering buyout with USF Foundation, a private non-profit organization that declines to release that agreement.",-1,1255000,4009,3099,2503099,Golesh,South Florida,Alex,SMG/sports_headshots/ncaaf/coach/alex_golesh_s.jpg,2500000,2500000,50000,2024,head,American Athletic Conference,CFB,122,American Athletic Conference,AAC,Conference,Teams,2024-10-16T07:05:36.06215307Z,-1,-1,CoachesSalaries
4401,4401,,12667500,500000,23207,-1,2500000,Traylor,UTSA,Jeff,SMG/sports_headshots/ncaaf/coach/jeff_traylor_s.jpg,2500000,2500000,75000,2024,head,American Athletic Conference,CFB,122,American Athletic Conference,AAC,Conference,Teams,2024-10-16T07:05:36.062499333Z,-1,-1,CoachesSalaries
5762,5762,,3104338,1250000,3504,5194,2457363,Houston,East Carolina,Mike,SMG/sports_headshots/ncaaf/coach/mike _houston_s.jpg,2452169,2452169,25000,2024,head,American Athletic Conference,CFB,122,American Athletic Conference,AAC,Conference,Teams,2024-10-16T07:05:36.060228745Z,-1,-1,CoachesSalaries
3543,3543,,-1,-1,3487,-1,2360640,Lashlee,SMU,Rhett,SMG/sports_headshots/ncaaf/coach/rhett_lashlee_s.jpg,2360640,2360640,-1,2024,head,Atlantic Coast Conference,CFB,1,Atlantic Coast,ACC,Conference,Teams,2024-10-16T07:05:36.062203204Z,-1,-1,CoachesSalaries
4102,4102,School Pay does not include the value of housing furnished by Army West Point Athletic Association that Monken is required to occupy as a condition of his employment.,7545833,925000,3502,-1,2350000,Monken,Army West Point,Jeff,SMG/sports_headshots/ncaaf/coach/jeff_monken_s.jpg,2350000,2350000,250000,2024,head,American Athletic Conference,CFB,122,American Athletic Conference,AAC,Conference,Teams,2024-10-16T07:05:36.059676778Z,-1,-1,CoachesSalaries
4481,4481,,6140000,500000,3506,-1,2200000,Silverfield,Memphis,Ryan,SMG/sports_headshots/ncaaf/coach/ryan_silverfield_s.jpg,2200000,2200000,210000,2024,head,American Athletic Conference,CFB,122,American Athletic Conference,AAC,Conference,Teams,2024-10-16T07:05:36.061099792Z,-1,-1,CoachesSalaries
1574,1574,,5100017,1075000,3466,-1,2000008,Bray,Oregon State,Trent,SMG/sports_headshots/ncaaf/coach/trent_bray_s.jpg,2000008,2000008,-1,2024,head,Pac-12 Conference,CFB,7,Pac-12,Pac-12,Conference,Teams,2024-10-16T07:05:36.061846811Z,-1,-1,CoachesSalaries
